"News","Новости"
"Categories","Категории"
"Category","Категория"
"Manage News","Управление новостями"
"Back","Вернуться"
"Reset","Сбросить"
"Delete","Удалить"
"Save","Сохранить"
"Save and Continue Edit","Сохранить и продолжить редактирование"
"Reset Filter","Сбросить фильтр"
"Search","Найти"
"Actions","Действия"
"Action","Действие"
"Submit","Отправить"
"Any","Любой"
"Yes","Да"
"No","Нет"
"ID","ИД"
"Add News Category","Добавить категорию новостей"
"Add News","Добавить новость"
"Choose Store View:","Выберите представление магазина:"
"News Information","Информация о новости"
"General","Основные параметры"
"Images","Изображения"
"Meta Information","Meta информация"
"Stores","Представления магазинов"
"Categories","Категории"
"Name","Название"
"Position","Позиция"
"Published At","Опубликовано"
"Title","Заголовок"
"Is Active","Активна"
"URL Key","URL адрес"
"Description","Описание"
"Short Description","Краткое описание"
"Image","Изображение"
"Small Image","Небольшое изображение"
"Thumbnail","Мини изображение"
"Page Title","Заголовок Meta"
"Meta Keywords","Ключевые слова META"
"Meta Description","Описание META"
"Store View","Представление магазина"
"timezone: UTC","часовой пояс: UTC"
"in default store view timezone","в часовом поясе представления магазина по умолчанию"
"Search Engine Optimizations","SEO оптимизация"
"News Route URL Key","URL маршрут новостей"
"News Category Route URL Key","URL маршрут категорий новостей"
"URL Suffix","URL суффикс"
"News List: Page Title","Список новостей: Заголовок Meta"
"News List: Meta keywords","Список новостей: Ключевые слова META"
"News List: Meta description","Список новостей: Описание META"
"Use Canonical Link Meta Tag For News","Использовать тег canonical для новостей"
